id,performance,age,gender,num performances,music amount,instrument or sing,programming experience,lisp experience,aesthetic enjoyment beginning,aesthetic enjoyment middle,aesthetic enjoyment end,aesthetic help enjoyment,aesthetic understanding beginning,aesthetic understanding middle,aesthetic understanding end,aesthetic help understanding,aesthetic liveness,didactic enjoyment beginning,didactic enjoyment middle,didactic enjoyment end,didactic help enjoyment,didactic understanding beginning,didactic understanding middle,didactic understanding end,didactic help understanding,didactic liveness,improvements,arrian's notes
27,1,28-32,f,first one,large amount,no,some experience,no,1,2,2,yes,1,2,3,yes,"Yes. Since I could see Ben coding on the screen. Also, it didn't sound very mechanical & perfect.",2,3,3,yes,2,3,3,yes,Yes.,"visualisation changing size as the tempo went up and down. Part 1 could use some vis from part 2, which had better vis. Having 2 separate screens could help because at times the vis was covering the code. Really brilliant idea. Good work!!","noted in the didactic 'did vis help with enjoyment' that ""But at times it [the vis] covered bits of the code. Can this be done on 2 separate screens? Or is that done on purpose?"". Also noted in didactic 'did vis help with understanding' section that ""Really well this time""."
28,1,18-22,m,first one,large amount,occasionally,currently program,no,2,3,2,yes,3,2,2,no,"The code certainly showed that it was live - typing of code and submission of changes. But I did not grasp the meaning of visualisations, even though it was interesting to watch. Some of the visualisation did not make much sense, and only made the code hard to read.",2,2,2,yes,2,2,2,yes,The visualisation now make a bit more sense.,"For the first one, the visualisation could be based on the melody of the music. Especially the one with a large amount of squares. One can also create a visualisation that shows the layer of the music. From base up to melody etc. The second visualisation makes a bit more sense, but it's a bit boring in a sense. Feel the rest blocked too much code and made it difficult to see the code.",
29,1,18-22,m,first one,a little,no,currently program,no,2,2,2,yes,1,2,2,no opinion,Not necessarily - seeing the code go up was a huge indicator but the visualisations did nothing to suggest it was live. Projected code: yes. Visualisations: no.,1,2,3,yes,3,2,1,no,Projected code did as we saw it going out live. Visualisations not so much. Cool how they respond to the code/music but perhaps made performance seem too polished. This taking away fom live aspect of it.,"First performance: forgive me if I'm wrong but it seemed each distinct visualisation corresponded to an instrument. Maybe it would be cool to keep them all up rather than taking them down or as an instrument enters. (Then again, could make screen way too crowded) Second performance - maybe drop descriptive text after a while? Or fade it? Either way really liked 2nd performance.",
30,1,33-37,m,one or two,large amount,yes,some experience,yes,3,3,2,yes,2,2,3,no,yeah - it was easy to experience he real-time correspondence between sound and what we could see.,1,2,2,yes,2,2,2,no,"Yes, I found the projected visualisation a little simplistic. The code was much more interesting and stimulating.","While the first song was catchy, the second one was not as interesting and would bettter function as background music. Catchy music demands my attention (eyes included) - that's my __ [? unintelligible]",
31,1,18-22,m,first one,large amount,no,currently program,no,2,3,2,yes,1,1,1/2,no opinion,"Yes, you could see the connection between Ben's reactions/actions and the code changing (ie. Him typing), and the connection between the code changing and the music/visualisations changing.",2,2,2,yes,2,2,2/3,yes,Same as B. [aesthetic], -Representation of pitch as well as volume? -For the first one including name of methods(?) with each new visualisation. -Segregating parts of the screen for different instruments/methods (more so for the first performance).,
32,1,28-32,m,first one,hardly any,no,no experience,no,3,3,3,yes,1,2,2,no opinion,Code helped enormously. I could see the coding affect the music - the creative process was vital to enjoying the experience (I'm normally not a music lover),2,3,2,no,2,2,2,no,The graphics were distracting in this set. It felt harder to understand the code but that may be bacause the music was putting me to sleep.,"I really enjoyed the music, coding and visuals of the first set. Can't offer any advice for improvement - great job.",
33,1,18-22,m,first one,large amount,occasionally,currently program,no,2,3,2,yes,2,2,2,no,Yes. Changes in variables within functions left me anticipating how the performance was also going to change as well.,1,2,2,no,1,1,1,no,The visualisations for this performance were overly distracting from the experience and thereby detracted from the notion that it was a live performance.,Maintain visibility of code. Don't be overly stimulating visuallly.,indicated in demographics that they program for study
34,1,18-22,f,first one,large amount,no,currently program,don't know what you are talking about,3,3,3,yes,1,1,2,no opinion,"Yes, because they changed as the performanec progressed + were linked to code changes.",3,3,3,no,1,1,1,no,Yes -> they related to beat/completion of repeat + they were changing/added/removed as the code was edited.,"The first ones were my fav. The second one w/ the drums was too 'flashing' but if it reflects the beat, it is hard to change. You could use coour + like pulses to reflect the beat?",
35,1,23-27,m,first one,large amount,occasionally,some experience,don't know what you are talking about,1,1,2,yes,1,1,1,yes,You could see the code being written and the visualisations helped to show when a piece of code started working.,2,1,1,no,1,1,1,yes,It was easier to see when each of the elements were working at any given time.,-,
36,1,43-52,m,one or two,large amount,no,no experience,no,1,2,2,yes,1,2,2,no,Yes. Changing of code that changed the music made it clear it was live,2,2,2,no,1,2,3,yes,"The visualisations distracted from the code + because the focus. Still clear it was a live performance. Other than that, great.","Flashing images in the second performance were a bit hard to watch - ""stroke like""",
37,1,23-27,m,first one,large amount,occasionally,currently program,no,2,2,3,no,2,3,2,no,Yes. Dynamic nature and change clearly in response to Ben's commands.,2,3,2,yes,2,1,1,no,"Yes but not as much; they were much more mechanistic, displaying the state of the algorithm more obviously than in the previous gig.",The small speckly squares made reading the code hard -> some way to make them interfere less for reading would be good. Likewise the second performance was hard to read as well. Perhaps avoid the words (chords/base/bleeps)?,
38,1,38-42,f,first one,a little,no,currently program,no,3,3,3,no opinion,2,2,2,no,Seeing the code was great & definitely made it feel 'live'. The visualisations are nice but I was mainly focussed on reading the code so didn't notice them much.,3,3,3,no,2,2,2,no,"This time the visualisations clearly showed the changes being made to the code, but I found them distracting & preferred just to read the code.",Perhaps the code & the visualisations could be on separate screens? Then there is one screen for geeks & one for non-geeks :). Well done! I really enjoyed the performances.,
39,1,28-32,f,first one,a little,yes,no experience,no,2,3,3,yes,1,1,1,no opinion,Yes. The melody was so nice and the code also represent the name of instrument while the music was played.,2,2,3,yes,1,2,1,yes,Yes. I think so. It is because of the code used is so connected with the sound of instruments that are used.,"With my limited knowledge of programming, I don't think I have a good suggestion. By the way, congratulation for greatful performance.",
40,1,28-32,f,first one,a little,no,currently program,no,1,3,3,yes,1,2,2,yes,"Yes, because musician (programmer) is changing the code and I hear 2 see the effect on realtime.",2,1,1,-,2,2,2,yes,Same as Q 12 [aesthetic liveness],-,
41,1,23-27,m,one or two,large amount,occasionally,currently program,no,2,3,3,yes,3,2,2,no,Yes. You can see the feedback and how timing variables were changed according to Ben's feedback (how he gauged what he was hearing),2,3,2,yes,3,2,2,yes,The visualisations really helped to convey the timing required for each function to complete a cycle or period. It was easier to fol1 this visualisation than the code.,-,
