id,performance,age,gender,num performances,music amount,instrument or sing,programming experience,lisp experience,aesthetic enjoyment beginning,aesthetic enjoyment middle,aesthetic enjoyment end,aesthetic help enjoyment,aesthetic understanding beginning,aesthetic understanding middle,aesthetic understanding end,aesthetic help understanding,aesthetic liveness,didactic enjoyment beginning,didactic enjoyment middle,didactic enjoyment end,didactic help enjoyment,didactic understanding beginning,didactic understanding middle,didactic understanding end,didactic help understanding,didactic liveness,improvements,arrian's notes
21,2,33-37,male,first one,Large Amount,Occasionally,Current Experience,no,medium,medium,medium,unspecified,medium,high,high,unspecified,The interpreter/composer took care to slow down the music in a way I could follow and perceive.,medium,high,medium,yes,low,medium,high,no,"Mostly the hesitation of the cursor and that transitions between ""musical forms"" didn't occur at the most expected times.","* could you ""live code"" the colour pallettes? To alter the visualisation moods? * soundwaves never grow old (in my mind) * perhaps have a stronger correlations with hush tones -> defined shapes. Baselines -> wide and soft shapes... that animations follow the beat more consistently. * It would be really cool once you edit a code line and then activate it / schedule for it to morph into a visualisation for as long as this line of code is active?",indicated in demographics section that they program for work
22,2,28-32,male,first one,Large Amount,Occasionally,Current Experience,no,medium,high,medium,yes,medium,high,high,no,Yes. The triggers when the sounds are played.,medium,medium,medium,yes,low,medium,medium,no,"Yes. The ""progression bar[?]"" aspects interesting. More could be done giving interesting results. The feedback effect on trebbeles[?] etc...",The interaction between the sound and the visuals is interesting and could be pushed much more forward.,
23,1,23-27,male,one or more,Large Amount,Occasionally,Current Experience,yes,high,high,high,no,medium,medium,medium,no,The code conveys the message that the music is generated by live-modified LISP code. But the visualisation does not help :(,high,high,high,yes,medium,medium,medium,yes,Both of the code and the visualisation shows the performance is live. The visualisation shows which function is responsible for which component of the music.,Make the visualisation of the second performance more fine-grained will help. It will be better not just relate the function to the sound but relate every beat to the sound or to the code responsible for that beat as well. Think about flashing s-exps rather than flashing HUD.,
24,1,18-22,male,one or more,Large Amount,Never or Rarely,Current Experience,no,low,medium,medium,unspecified,high,medium,low,no,"I define live as a boolean value. He was coding ""live"" in front of us so therefore it is live. So no, to me the visualisations did not help communicate to me the fact that this was live coding.",low,low,low,unspecified,medium,medium,medium,no,See part c [? Current section].,"I found the visualizations distracting. The words in the second performance also obscured some lines of code. My understanding of this was just that you just demonstrated the code rather than having the visualisations as an aid. Also, the visualisations were not in beat with the music. This annoys me. Finally, some of the visusalisations I could not interpret, I knew what they were, I just couldn't map one-to-one the visualisations and the sound.","indicated that they saw a live coding performance in 2013 COMP1100. Also stated in the aesthetic understanding section that ""as more stuff was added it was harder to hear what each thing did."""
25,1,23-27,female,first one,Large Amount,Occasionally,Previous Experience,no,low,medium,low,no,medium,low,low,no,code did -> could see then hear the changes. Visualisations just felt like a 90s windows screensaver that changed w/ each addition to the performance -> would've had more meaning if they added together rather then changed.,low,low,low,no,medium,medium,medium,unspecified,"live coding took a back seat to the visualisations in this case viualisations were a bit all over the shop + not all that meaningful. I assume it was representing the time of each element -> not very interesting or meaningful for chords, bleeps + base. Also the [circle in circle] aren't appear in time neither the [backtick in circle]. Generally took away from the code + not a good visualisation of what is going on.",Be more consistent. Last performance had some good elements but the labelling was unneccessary. It would have been better if the visualisation was more uniform in the last performance + more meaningful in terms of the beat + rhythm rather than the time it took for the code to run. In terms of visualisation it did show what code was running though in the 2nd performance.,
26,1,23-27,male,first one,A Little,Never or Rarely,Current Experience,yes,low,high,medium,yes,medium,high,medium,no,yes,low,high,high,yes,medium,high,high,yes,Yes,-,
27,1,28-32,female,first one,Large Amount,Never or Rarely,Previous Experience,no,low,medium,medium,yes,low,medium,high,yes,"Yes. Since I could see Ben coding on the screen. Also, it didn't sound very mechanical & perfect.",medium,high,high,yes,medium,high,high,yes,Yes.,"visualisation changing size as the tempo went up and down. Part 1 could use some vis from part 2, which had better vis. Having 2 separate screens could help because at times the vis was covering the code. Really brilliant idea. Good work!!","noted in the didactic 'did vis help with enjoyment' that ""But at times it [the vis] covered bits of the code. Can this be done on 2 separate screens? Or is that done on purpose?"". Also noted in didactic 'did vis help with understanding' section that ""Really well this time""."
28,1,18-22,male,first one,Large Amount,Occasionally,Current Experience,no,medium,high,medium,yes,high,medium,medium,no,"The code certainly showed that it was live - typing of code and submission of changes. But I did not grasp the meaning of visualisations, even though it was interesting to watch. Some of the visualisation did not make much sense, and only made the code hard to read.",medium,medium,medium,yes,medium,medium,medium,yes,The visualisation now make a bit more sense.,"For the first one, the visualisation could be based on the melody of the music. Especially the one with a large amount of squares. One can also create a visualisation that shows the layer of the music. From base up to melody etc. The second visualisation makes a bit more sense, but it's a bit boring in a sense. Feel the rest blocked too much code and made it difficult to see the code.",
29,1,18-22,male,first one,A Little,Never or Rarely,Current Experience,no,medium,medium,medium,yes,low,medium,medium,unspecified,Not necessarily - seeing the code go up was a huge indicator but the visualisations did nothing to suggest it was live. Projected code: yes. Visualisations: no.,low,medium,high,yes,high,medium,low,no,Projected code did as we saw it going out live. Visualisations not so much. Cool how they respond to the code/music but perhaps made performance seem too polished. This taking away fom live aspect of it.,"First performance: forgive me if I'm wrong but it seemed each distinct visualisation corresponded to an instrument. Maybe it would be cool to keep them all up rather than taking them down or as an instrument enters. (Then again, could make screen way too crowded) Second performance - maybe drop descriptive text after a while? Or fade it? Either way really liked 2nd performance.",
30,1,33-37,male,one or more,Large Amount,Regularly,Previous Experience,yes,high,high,medium,yes,medium,medium,high,no,yeah - it was easy to experience he real-time correspondence between sound and what we could see.,low,medium,medium,yes,medium,medium,medium,no,"Yes, I found the projected visualisation a little simplistic. The code was much more interesting and stimulating.","While the first song was catchy, the second one was not as interesting and would bettter function as background music. Catchy music demands my attention (eyes included) - that's my __ [? unintelligible]",
31,1,18-22,male,first one,Large Amount,Never or Rarely,Current Experience,no,medium,high,medium,yes,low,low,low,unspecified,"Yes, you could see the connection between Ben's reactions/actions and the code changing (ie. Him typing), and the connection between the code changing and the music/visualisations changing.",medium,medium,medium,yes,medium,medium,medium,yes,Same as B. [aesthetic], -Representation of pitch as well as volume? -For the first one including name of methods(?) with each new visualisation. -Segregating parts of the screen for different instruments/methods (more so for the first performance).,
32,1,28-32,male,first one,Hardly Any,Never or Rarely,No Experience,no,high,high,high,yes,low,medium,medium,unspecified,Code helped enormously. I could see the coding affect the music - the creative process was vital to enjoying the experience (I'm normally not a music lover),medium,high,medium,no,medium,medium,medium,no,The graphics were distracting in this set. It felt harder to understand the code but that may be bacause the music was putting me to sleep.,"I really enjoyed the music, coding and visuals of the first set. Can't offer any advice for improvement - great job.",
33,1,18-22,male,first one,Large Amount,Occasionally,Current Experience,no,medium,high,medium,yes,medium,medium,medium,no,Yes. Changes in variables within functions left me anticipating how the performance was also going to change as well.,low,medium,medium,no,low,low,low,no,The visualisations for this performance were overly distracting from the experience and thereby detracted from the notion that it was a live performance.,Maintain visibility of code. Don't be overly stimulating visuallly.,indicated in demographics that they program for study
34,1,18-22,female,first one,Large Amount,Never or Rarely,Current Experience,no,high,high,high,yes,low,low,medium,unspecified,"Yes, because they changed as the performanec progressed + were linked to code changes.",high,high,high,no,low,low,low,no,Yes -> they related to beat/completion of repeat + they were changing/added/removed as the code was edited.,"The first ones were my fav. The second one w/ the drums was too 'flashing' but if it reflects the beat, it is hard to change. You could use coour + like pulses to reflect the beat?",
35,1,23-27,male,first one,Large Amount,Occasionally,Previous Experience,no,low,low,medium,yes,low,low,low,yes,You could see the code being written and the visualisations helped to show when a piece of code started working.,medium,low,low,no,low,low,low,yes,It was easier to see when each of the elements were working at any given time.,-,
36,1,43-52,male,one or more,Large Amount,Never or Rarely,No Experience,no,low,medium,medium,yes,low,medium,medium,no,Yes. Changing of code that changed the music made it clear it was live,medium,medium,medium,no,low,medium,high,yes,"The visualisations distracted from the code + because the focus. Still clear it was a live performance. Other than that, great.","Flashing images in the second performance were a bit hard to watch - ""stroke like""",
37,1,23-27,male,first one,Large Amount,Occasionally,Current Experience,no,medium,medium,high,no,medium,high,medium,no,Yes. Dynamic nature and change clearly in response to Ben's commands.,medium,high,medium,yes,medium,low,low,no,"Yes but not as much; they were much more mechanistic, displaying the state of the algorithm more obviously than in the previous gig.",The small speckly squares made reading the code hard -> some way to make them interfere less for reading would be good. Likewise the second performance was hard to read as well. Perhaps avoid the words (chords/base/bleeps)?,
38,1,38-42,female,first one,A Little,Never or Rarely,Current Experience,no,high,high,high,unspecified,medium,medium,medium,no,Seeing the code was great & definitely made it feel 'live'. The visualisations are nice but I was mainly focussed on reading the code so didn't notice them much.,high,high,high,no,medium,medium,medium,no,"This time the visualisations clearly showed the changes being made to the code, but I found them distracting & preferred just to read the code.",Perhaps the code & the visualisations could be on separate screens? Then there is one screen for geeks & one for non-geeks :). Well done! I really enjoyed the performances.,
39,1,28-32,female,first one,A Little,Regularly,No Experience,no,medium,high,high,yes,low,low,low,unspecified,Yes. The melody was so nice and the code also represent the name of instrument while the music was played.,medium,medium,high,yes,low,medium,low,yes,Yes. I think so. It is because of the code used is so connected with the sound of instruments that are used.,"With my limited knowledge of programming, I don't think I have a good suggestion. By the way, congratulation for greatful performance.",
40,1,28-32,female,first one,A Little,Never or Rarely,Current Experience,no,low,high,high,yes,low,medium,medium,yes,"Yes, because musician (programmer) is changing the code and I hear 2 see the effect on realtime.",medium,low,low,unspecified,medium,medium,medium,yes,Same as Q 12 [aesthetic liveness],-,
41,1,23-27,male,one or more,Large Amount,Occasionally,Current Experience,no,medium,high,high,yes,high,medium,medium,no,Yes. You can see the feedback and how timing variables were changed according to Ben's feedback (how he gauged what he was hearing),medium,high,medium,yes,high,medium,medium,yes,The visualisations really helped to convey the timing required for each function to complete a cycle or period. It was easier to follow this visualisation than the code.,-,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,flat-up,4,,,flat-up,2,,,,flat-up,3,,,flat-up,2,,,,,
,,,,,,,,,flat-flat,13,,,flat-flat,18,,,,flat-flat,14,,,flat-flat,20,,,,,
,,,,,,,,,up-up,1,,,up-up,1,,,,up-up,1,,,up-up,2,,,,,
,,,,,,,,,up-flat,10,,,up-flat,8,,,,up-flat,6,,,up-flat,9,,,,,
,,,,,,,,,flat-down,2,,,flat-down,0,,,,flat-down,0,,,flat-down,0,,,,,
,,,,,,,,,down-flat,1,,,down-flat,4,,,,down-flat,4,,,down-flat,2,,,,,
,,,,,,,,,unspecified,1,,,unspecified,2,,,,unspecified,0,,,unspecified,2,,,,,
,,,,,,,,,up-down,9,,,up-down,3,,,,up-down,8,,,up-down,1,,,,,
,,,,,,,,,down-up,0,,,down-up,2,,,,down-up,5,,,down-up,2,,,,,
,,,,,,,,,down-down,0,,,down-down,1,,,,down-down,0,,,down-down,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,up,15,,,up,13,,,,up,15,,,up,15,,,,,
,,,,,,,,,down,11,,,down,8,,,,down,12,,,down,4,,,,,
,,,,,,,,,flat,13,,,flat,18,,,,flat,14,,,flat,20,,,,,
,,,,,,,,,unspecified,1,,,unspecified,2,,,,unspecified,0,,,unspecified,2,,,,,
